track,currentTranscription
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk0.mp3,this wooden face dates back to about 1500 to 1100 BC in other words it's more than 3000 years old
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk1.mp3,like so many objects from ancient Egypt it's associated with death because it was originally attached to the front of a coffin at the top
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk10.mp3,and the religious beliefs that affected their preparations for Death so as well as appreciating the beauty of an object like this space
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk11.mp3,it was me the way it was
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk2.mp3,is a piece of wood which we call a tenon this was used to fasten the face to the Coffin although in its current state we see the beautiful
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk3.mp3,the Faces made from it would originally have been brightly painted objects like these are stunning work the park and they show us how Nations
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk4.mp3,person wants to be remembered after death they also reveal the incredible skill of the cross when you made them on this face for example the inlaid
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk5.mp3,and eyebrows were held in place by an adhesive which we have been able to identify the type of gun mixed with Egyptian blue this is a blue colour manufactured by the
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk6.mp3,to do this is a mixed copper minerals or scrap metal from copper and bronze working with powdered limestone sand and an alkaline material such as play
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk7.mp3,this makes you was fired at a very high temperature for many hours producing a blue glass like substance further into the room there is a video
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk8.mp3,making Egyptian blue we want to take you below the surface appearance of the object displayed so that you can understand how coffins for me
https://fitz-audio-guide-micropasts.s3.eu-west-2.amazonaws.com/Nile-001_Chunk9.mp3,the Crossman who worked on them we also want you to get to know the ancient Egyptian people who were buried in these coffins the economic times
